"quote","movie","type","year"
"Do, or do not. There is no try.","Star Wars: Episode V - The Empire Strikes Back","movie","1890"
"If you strike me down, I shall become more powerful than you could possibly imagine.","Star Wars","movie","1977"
"It'll be just like Beggar's Canyon, back home","Star Wars","movie","1977"
"May the Force be with you.","Star Wars","movie","1977"
"When I left you I was but the learner. Now I am the master.","Star Wars Episode IV - A New Hope","movie","1977"
"That’s no moon…it’s a space station","Star Wars Episode IV - A New Hope","movie","1977"
"You must unlearn what you have learned.","Star Wars: Episode V - The Empire Strikes Back","movie","1980"
"Do, or do not. There is no 'try'.","Star Wars: Episode V - The Empire Strikes Back","movie","1980"
"Luke, I am your father.","Star Wars, Empire Strikes Back","movie","1980"
"It’s a trap!","Star Wars: Return of Jedi","movie","1983"
"I am a Jedi, like my father before me.","Star Wars Episode 6 : Return Of The Jedi","movie","1983"
"Fear. Fear attracts the fearful… the strong… the weak… the innocent… the corrupt. Fear. Fear is my ally.","Star Wars: Episode I – The Phantom Menace","movie","1999"
"Did you ever hear the tragedy of Darth Plagueis The Wise? I thought not. It's not a story the Jedi would tell you. It's a Sith legend.","Star Wars: Episode III – Revenge of the Sith","movie","2005"
"I am the senate!","Star Wars: Episode III – Revenge of the Sith","movie","2005"
"That's not how the force works!","Star Wars: Episode VII - The Force Awakens","movie","2015"
"That light saber was luke's, and his father's before him, and now it calls to you!","Star Wars: The Force Awakens","movie","2015"